date;Pivots;Valeur1(req);Valeur2(Mo)
2014/12/05:16:00:00.000;Pivot1;818.955444336;674.358825684
2014/12/05:16:00:00.500;Pivot2;396.359527588;955.022033691
2014/12/05:16:00:01.000;Pivot2;2690.860595703;649.030944824
2014/12/05:16:00:01.500;Pivot3;609.526611328;92.289550781
2014/12/05:16:00:02.000;Pivots4;2904.239501953;969.194702148
2014/12/05:16:00:02.500;Pivot3;199.200836182;876.50201416
2014/12/05:16:00:03.000;Pivot2;1225.42968750;526.788635254
2014/12/05:16:00:03.500;Pivot3;546.768249512;73.960472107
2014/12/05:16:00:04.000;Pivot2;1383.017700195;125.178161621
2014/12/05:16:00:04.500;Pivot1;443.691864014;915.606933594
2014/12/05:16:00:05.000;Pivot1;2173.045410156;498.977661133
2014/12/05:16:00:05.500;Pivot2;1182.276977539;529.56262207
2014/12/05:16:00:06.000;Pivot3;1651.51953125;451.475006104
2014/12/05:16:00:06.500;Pivot3;2584.514160156;173.034973145
2014/12/05:16:00:07.000;Pivot1;397.248748779;222.771835327
2014/12/05:16:00:07.500;Pivot2;2411.807373047;274.455291748
2014/12/05:16:00:08.000;Pivot2;277.527893066;693.992980957
2014/12/05:16:00:08.500;Pivot2;2002.687866211;128.770462036
2014/12/05:16:00:09.000;Pivot3;263.677490234;464.319213867
2014/12/05:16:00:09.500;Pivots4;1972.518554688;827.988525391
2014/12/05:16:00:10.000;Pivots4;617.144836426;150.497497559
2014/12/05:16:00:10.500;Pivots4;1019.039916992;359.017669678
2014/12/05:16:00:11.000;Pivot1;217.482421875;477.241912842
2014/12/05:16:00:11.500;Pivot2;1086.668334961;640.995910645
2014/12/05:16:00:12.000;Pivot3;397.127960205;245.461547852
2014/12/05:16:00:12.500;Pivots4;2987.936767578;347.400848389
2014/12/05:16:00:13.000;Pivot2;624.092468262;334.455871582
2014/12/05:16:00:13.500;Pivot1;2485.510498047;407.765014648
2014/12/05:16:00:14.000;Pivot2;1670.38684082;559.57208252
2014/12/05:16:00:14.500;Pivot3;2736.903320312;341.59197998
2014/12/05:16:00:15.000;Pivots4;1782.722167969;495.806762695
2014/12/05:16:00:15.500;Pivot3;266.368133545;750.632019043
2014/12/05:16:00:16.000;Pivot1;1842.561889648;537.479492188
2014/12/05:16:00:16.500;Pivot1;1285.424926758;55.892021179
2014/12/05:16:00:17.000;Pivot1;848.289428711;298.462493896
2014/12/05:16:00:17.500;Pivots4;1751.972167969;834.248657227
2014/12/05:16:00:18.000;Pivot1;1954.813354492;115.09967041
2014/12/05:16:00:18.500;Pivot1;165.782669067;196.220428467
2014/12/05:16:00:19.000;Pivot1;2970.553466797;375.507568359
2014/12/05:16:00:19.500;Pivot3;109.143844604;337.021881104
2014/12/05:16:00:20.000;Pivot1;1892.032348633;264.566040039
2014/12/05:16:00:20.500;Pivot2;1880.193115234;236.457305908
2014/12/05:16:00:21.000;Pivot1;1379.301757812;790.754150391
2014/12/05:16:00:21.500;Pivot2;2743.759033203;929.254211426
2014/12/05:16:00:22.000;Pivot2;2666.641845703;900.778564453
2014/12/05:16:00:22.500;Pivot2;2861.83203125;304.134735107
2014/12/05:16:00:23.000;Pivot2;2811.313232422;624.414550781
2014/12/05:16:00:23.500;Pivot3;1020.674194336;781.093811035
2014/12/05:16:00:24.000;Pivot1;405.985412598;578.40826416
2014/12/05:16:00:24.500;Pivots4;2262.48828125;339.090423584
2014/12/05:16:00:25.000;Pivot1;2988.587646484;254.973480225
2014/12/05:16:00:25.500;Pivot3;2960.906982422;398.54901123
2014/12/05:16:00:26.000;Pivot2;446.01461792;932.191345215
2014/12/05:16:00:26.500;Pivots4;1566.654174805;970.87322998
2014/12/05:16:00:27.000;Pivot1;1417.983886719;807.354919434
2014/12/05:16:00:27.500;Pivot3;2643.849121094;962.533203125
2014/12/05:16:00:28.000;Pivots4;2905.559082031;326.383087158
2014/12/05:16:00:28.500;Pivots4;1730.774291992;319.430908203
2014/12/05:16:00:29.000;Pivot2;1189.922485352;426.295440674
2014/12/05:16:00:29.500;Pivot2;2489.655761719;824.176696777
2014/12/05:16:00:30.000;Pivot1;383.929595947;731.342102051
2014/12/05:16:00:30.500;Pivot3;267.186798096;458.913909912
2014/12/05:16:00:31.000;Pivot1;1308.205932617;386.718353271
2014/12/05:16:00:31.500;Pivot1;716.196350098;189.47517395
2014/12/05:16:00:32.000;Pivots4;2689.929443359;286.377349854
2014/12/05:16:00:32.500;Pivot3;2634.956542969;146.29208374
2014/12/05:16:00:33.000;Pivot2;1184.279541016;469.844848633
2014/12/05:16:00:33.500;Pivot2;656.056213379;707.741821289
2014/12/05:16:00:34.000;Pivots4;472.560089111;838.214599609
2014/12/05:16:00:34.500;Pivot1;564.357666016;54.911865234
2014/12/05:16:00:35.000;Pivots4;2177.397460938;314.785369873
2014/12/05:16:00:35.500;Pivot1;2582.076416016;261.289245605
2014/12/05:16:00:36.000;Pivot2;2382.788574219;763.726867676
2014/12/05:16:00:36.500;Pivots4;1328.184204102;768.109313965
2014/12/05:16:00:37.000;Pivot3;2257.182617188;500.421905518
2014/12/05:16:00:37.500;Pivot2;2424.778076172;488.288391113
2014/12/05:16:00:38.000;Pivot2;2451.699462891;393.921905518
2014/12/05:16:00:38.500;Pivot2;281.371704102;329.54788208
2014/12/05:16:00:39.000;Pivot2;2206.960693359;371.523712158
2014/12/05:16:00:39.500;Pivot1;1671.752441406;856.835693359
2014/12/05:16:00:40.000;Pivot3;2623.189453125;903.593688965
2014/12/05:16:00:40.500;Pivot1;2120.585693359;315.066314697
2014/12/05:16:00:41.000;Pivot1;2775.015380859;96.230934143
2014/12/05:16:00:41.500;Pivot3;1317.720703125;445.906005859
2014/12/05:16:00:42.000;Pivot2;329.064941406;517.516845703
2014/12/05:16:00:42.500;Pivot1;2267.486083984;535.496887207
2014/12/05:16:00:43.000;Pivot1;2316.564941406;779.298278809
2014/12/05:16:00:43.500;Pivot3;2784.444824219;728.078674316
2014/12/05:16:00:44.000;Pivot2;2340.991455078;709.603027344
2014/12/05:16:00:44.500;Pivots4;1253.299072266;451.157684326
2014/12/05:16:00:45.000;Pivot3;2251.769775391;456.807617188
2014/12/05:16:00:45.500;Pivots4;2052.041015625;289.694732666
2014/12/05:16:00:46.000;Pivots4;2977.193115234;286.035125732
2014/12/05:16:00:46.500;Pivot1;1078.134765625;976.52343750
2014/12/05:16:00:47.000;Pivot3;1794.483154297;713.439819336
2014/12/05:16:00:47.500;Pivot3;2237.483886719;316.437194824
2014/12/05:16:00:48.000;Pivot2;682.14050293;347.059570312
2014/12/05:16:00:48.500;Pivots4;1736.155761719;977.944519043
2014/12/05:16:00:49.000;Pivot2;882.720947266;92.840431213
2014/12/05:16:00:49.500;Pivot1;1822.203857422;916.223571777
